location_id,report_id
MAINE,MAINE|2022|1
RHODE ISLAND,RHODE ISLAND|2022|1
VERMONT,VERMONT|2022|1
NEW JERSEY,NEW JERSEY|2022|1
NEW YORK,NEW YORK|2022|1
PENNSYLVANIA,PENNSYLVANIA|2022|1
ILLINOIS,ILLINOIS|2022|1
MICHIGAN,MICHIGAN|2022|1
WISCONSIN,WISCONSIN|2022|1
IOWA,IOWA|2022|1
KANSAS,KANSAS|2022|1
NEBRASKA,NEBRASKA|2022|1
SOUTH DAKOTA,SOUTH DAKOTA|2022|1
FLORIDA,FLORIDA|2022|1
GEORGIA,GEORGIA|2022|1
SOUTH CAROLINA,SOUTH CAROLINA|2022|1
VIRGINIA,VIRGINIA|2022|1
WEST VIRGINIA,WEST VIRGINIA|2022|1
ALABAMA,ALABAMA|2022|1
KENTUCKY,KENTUCKY|2022|1
MISSISSIPPI,MISSISSIPPI|2022|1
ARKANSAS,ARKANSAS|2022|1
ARIZONA,ARIZONA|2022|1
COLORADO,COLORADO|2022|1
NEW MEXICO,NEW MEXICO|2022|1
UTAH,UTAH|2022|1
CALIFORNIA,CALIFORNIA|2022|1
OREGON,OREGON|2022|1
WASHINGTON,WASHINGTON|2022|1
NON-US RESIDENTS,NON-US RESIDENTS|2022|1
NEW JERSEY,NEW JERSEY|2022|2
NEW YORK,NEW YORK|2022|2
ILLINOIS,ILLINOIS|2022|2
MICHIGAN,MICHIGAN|2022|2
WISCONSIN,WISCONSIN|2022|2
IOWA,IOWA|2022|2
KANSAS,KANSAS|2022|2
MINNESOTA,MINNESOTA|2022|2
MISSOURI,MISSOURI|2022|2
NEBRASKA,NEBRASKA|2022|2
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|2
GEORGIA,GEORGIA|2022|2
SOUTH CAROLINA,SOUTH CAROLINA|2022|2
ALABAMA,ALABAMA|2022|2
KENTUCKY,KENTUCKY|2022|2
MISSISSIPPI,MISSISSIPPI|2022|2
OKLAHOMA,OKLAHOMA|2022|2
ARIZONA,ARIZONA|2022|2
IDAHO,IDAHO|2022|2
MONTANA,MONTANA|2022|2
NEW MEXICO,NEW MEXICO|2022|2
UTAH,UTAH|2022|2
OREGON,OREGON|2022|2
WASHINGTON,WASHINGTON|2022|2
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|3
NEW JERSEY,NEW JERSEY|2022|3
NEW YORK,NEW YORK|2022|3
IOWA,IOWA|2022|3
KANSAS,KANSAS|2022|3
MINNESOTA,MINNESOTA|2022|3
MISSOURI,MISSOURI|2022|3
NEBRASKA,NEBRASKA|2022|3
SOUTH DAKOTA,SOUTH DAKOTA|2022|3
GEORGIA,GEORGIA|2022|3
VIRGINIA,VIRGINIA|2022|3
WEST VIRGINIA,WEST VIRGINIA|2022|3
ALABAMA,ALABAMA|2022|3
MISSISSIPPI,MISSISSIPPI|2022|3
TENNESSEE,TENNESSEE|2022|3
ARKANSAS,ARKANSAS|2022|3
OKLAHOMA,OKLAHOMA|2022|3
MONTANA,MONTANA|2022|3
NEW MEXICO,NEW MEXICO|2022|3
UTAH,UTAH|2022|3
WASHINGTON,WASHINGTON|2022|3
MAINE,MAINE|2022|4
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|4
NEW JERSEY,NEW JERSEY|2022|4
NEW YORK,NEW YORK|2022|4
PENNSYLVANIA,PENNSYLVANIA|2022|4
ILLINOIS,ILLINOIS|2022|4
IOWA,IOWA|2022|4
KANSAS,KANSAS|2022|4
MINNESOTA,MINNESOTA|2022|4
MISSOURI,MISSOURI|2022|4
NEBRASKA,NEBRASKA|2022|4
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|4
GEORGIA,GEORGIA|2022|4
VIRGINIA,VIRGINIA|2022|4
MISSISSIPPI,MISSISSIPPI|2022|4
TENNESSEE,TENNESSEE|2022|4
ARKANSAS,ARKANSAS|2022|4
OKLAHOMA,OKLAHOMA|2022|4
ARIZONA,ARIZONA|2022|4
COLORADO,COLORADO|2022|4
NEW MEXICO,NEW MEXICO|2022|4
WASHINGTON,WASHINGTON|2022|4
MAINE,MAINE|2022|5
NEW JERSEY,NEW JERSEY|2022|5
NEW YORK,NEW YORK|2022|5
PENNSYLVANIA,PENNSYLVANIA|2022|5
ILLINOIS,ILLINOIS|2022|5
MICHIGAN,MICHIGAN|2022|5
IOWA,IOWA|2022|5
KANSAS,KANSAS|2022|5
MINNESOTA,MINNESOTA|2022|5
MISSOURI,MISSOURI|2022|5
NEBRASKA,NEBRASKA|2022|5
SOUTH DAKOTA,SOUTH DAKOTA|2022|5
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|5
FLORIDA,FLORIDA|2022|5
GEORGIA,GEORGIA|2022|5
SOUTH CAROLINA,SOUTH CAROLINA|2022|5
VIRGINIA,VIRGINIA|2022|5
WEST VIRGINIA,WEST VIRGINIA|2022|5
ALABAMA,ALABAMA|2022|5
TENNESSEE,TENNESSEE|2022|5
ARKANSAS,ARKANSAS|2022|5
OKLAHOMA,OKLAHOMA|2022|5
ARIZONA,ARIZONA|2022|5
COLORADO,COLORADO|2022|5
MONTANA,MONTANA|2022|5
NEW MEXICO,NEW MEXICO|2022|5
UTAH,UTAH|2022|5
CALIFORNIA,CALIFORNIA|2022|5
OREGON,OREGON|2022|5
WASHINGTON,WASHINGTON|2022|5
MAINE,MAINE|2022|6
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|6
RHODE ISLAND,RHODE ISLAND|2022|6
VERMONT,VERMONT|2022|6
NEW JERSEY,NEW JERSEY|2022|6
NEW YORK,NEW YORK|2022|6
PENNSYLVANIA,PENNSYLVANIA|2022|6
ILLINOIS,ILLINOIS|2022|6
MICHIGAN,MICHIGAN|2022|6
IOWA,IOWA|2022|6
KANSAS,KANSAS|2022|6
MINNESOTA,MINNESOTA|2022|6
MISSOURI,MISSOURI|2022|6
NEBRASKA,NEBRASKA|2022|6
NORTH DAKOTA,NORTH DAKOTA|2022|6
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|6
FLORIDA,FLORIDA|2022|6
GEORGIA,GEORGIA|2022|6
SOUTH CAROLINA,SOUTH CAROLINA|2022|6
VIRGINIA,VIRGINIA|2022|6
WEST VIRGINIA,WEST VIRGINIA|2022|6
ALABAMA,ALABAMA|2022|6
MISSISSIPPI,MISSISSIPPI|2022|6
ARKANSAS,ARKANSAS|2022|6
LOUISIANA,LOUISIANA|2022|6
OKLAHOMA,OKLAHOMA|2022|6
ARIZONA,ARIZONA|2022|6
COLORADO,COLORADO|2022|6
MONTANA,MONTANA|2022|6
NEW MEXICO,NEW MEXICO|2022|6
UTAH,UTAH|2022|6
OREGON,OREGON|2022|6
MAINE,MAINE|2022|7
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|7
VERMONT,VERMONT|2022|7
NEW JERSEY,NEW JERSEY|2022|7
NEW YORK,NEW YORK|2022|7
PENNSYLVANIA,PENNSYLVANIA|2022|7
ILLINOIS,ILLINOIS|2022|7
MICHIGAN,MICHIGAN|2022|7
IOWA,IOWA|2022|7
KANSAS,KANSAS|2022|7
MINNESOTA,MINNESOTA|2022|7
MISSOURI,MISSOURI|2022|7
NEBRASKA,NEBRASKA|2022|7
SOUTH DAKOTA,SOUTH DAKOTA|2022|7
FLORIDA,FLORIDA|2022|7
GEORGIA,GEORGIA|2022|7
SOUTH CAROLINA,SOUTH CAROLINA|2022|7
VIRGINIA,VIRGINIA|2022|7
WEST VIRGINIA,WEST VIRGINIA|2022|7
ALABAMA,ALABAMA|2022|7
MISSISSIPPI,MISSISSIPPI|2022|7
TENNESSEE,TENNESSEE|2022|7
ARKANSAS,ARKANSAS|2022|7
LOUISIANA,LOUISIANA|2022|7
OKLAHOMA,OKLAHOMA|2022|7
ARIZONA,ARIZONA|2022|7
COLORADO,COLORADO|2022|7
UTAH,UTAH|2022|7
CALIFORNIA,CALIFORNIA|2022|7
OREGON,OREGON|2022|7
WASHINGTON,WASHINGTON|2022|7
MAINE,MAINE|2022|8
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|8
VERMONT,VERMONT|2022|8
NEW JERSEY,NEW JERSEY|2022|8
NEW YORK,NEW YORK|2022|8
ILLINOIS,ILLINOIS|2022|8
MICHIGAN,MICHIGAN|2022|8
OHIO,OHIO|2022|8
WISCONSIN,WISCONSIN|2022|8
KANSAS,KANSAS|2022|8
MINNESOTA,MINNESOTA|2022|8
MISSOURI,MISSOURI|2022|8
NEBRASKA,NEBRASKA|2022|8
FLORIDA,FLORIDA|2022|8
SOUTH CAROLINA,SOUTH CAROLINA|2022|8
VIRGINIA,VIRGINIA|2022|8
WEST VIRGINIA,WEST VIRGINIA|2022|8
ALABAMA,ALABAMA|2022|8
