report_id,next_report_id
ALABAMA|2022|1,ALABAMA|2022|2
ALABAMA|2022|2,ALABAMA|2022|3
ALABAMA|2022|3,ALABAMA|2022|5
ALABAMA|2022|5,ALABAMA|2022|6
ALABAMA|2022|6,ALABAMA|2022|7
ALABAMA|2022|7,ALABAMA|2022|8
ALABAMA|2022|8,ALABAMA|2022|9
ALABAMA|2022|9,ALABAMA|2022|10
ALABAMA|2022|10,ALABAMA|2022|11
ALABAMA|2022|11,ALABAMA|2022|12
ALABAMA|2022|12,ALABAMA|2022|13
ALABAMA|2022|13,ALABAMA|2022|14
ALABAMA|2022|14,ALABAMA|2022|15
ALABAMA|2022|15,ALABAMA|2022|16
ALABAMA|2022|16,ALABAMA|2022|17
ALABAMA|2022|17,ALABAMA|2022|18
ALABAMA|2022|18,ALABAMA|2022|19
ALABAMA|2022|19,ALABAMA|2022|20
ALABAMA|2022|20,ALABAMA|2022|21
ALABAMA|2022|21,ALABAMA|2022|22
ALABAMA|2022|22,ALABAMA|2022|23
ALABAMA|2022|23,ALABAMA|2022|24
ALABAMA|2022|24,ALABAMA|2022|25
ALABAMA|2022|25,ALABAMA|2022|26
ALABAMA|2022|26,ALABAMA|2022|27
ALABAMA|2022|27,ALABAMA|2022|28
ALABAMA|2022|28,ALABAMA|2022|29
ALABAMA|2022|29,ALABAMA|2022|30
ALABAMA|2022|30,ALABAMA|2022|31
ALABAMA|2022|31,ALABAMA|2022|32
ALABAMA|2022|32,ALABAMA|2022|33
ALABAMA|2022|33,ALABAMA|2022|34
ALABAMA|2022|34,ALABAMA|2022|35
ALABAMA|2022|35,ALABAMA|2022|36
ALABAMA|2022|36,ALABAMA|2022|37
ALABAMA|2022|37,ALABAMA|2022|38
ALABAMA|2022|38,ALABAMA|2022|39
ALABAMA|2022|39,ALABAMA|2022|42
ALABAMA|2022|42,ALABAMA|2022|43
ALABAMA|2022|43,ALABAMA|2022|44
ALABAMA|2022|44,ALABAMA|2022|45
ALABAMA|2022|45,ALABAMA|2022|46
ALABAMA|2022|46,ALABAMA|2022|47
ALABAMA|2022|47,ALABAMA|2022|48
ALABAMA|2022|48,ALABAMA|2022|49
ALABAMA|2022|49,ALABAMA|2022|50
ALABAMA|2022|50,ALABAMA|2022|51
ALABAMA|2022|51,ALABAMA|2022|52
ALABAMA|2022|52,ALABAMA|2023|1
ALABAMA|2023|1,ALABAMA|2023|2
ALABAMA|2023|2,ALABAMA|2023|3
ALABAMA|2023|3,ALABAMA|2023|4
ALABAMA|2023|4,ALABAMA|2023|5
ALABAMA|2023|5,ALABAMA|2023|6
ALABAMA|2023|6,ALABAMA|2023|7
ALABAMA|2023|7,ALABAMA|2023|8
ALABAMA|2023|8,ALABAMA|2023|9
ALABAMA|2023|9,ALABAMA|2023|10
ALABAMA|2023|10,ALABAMA|2023|11
ALABAMA|2023|11,ALABAMA|2023|13
ALABAMA|2023|13,ALABAMA|2023|14
ALABAMA|2023|14,ALABAMA|2023|15
ALABAMA|2023|15,ALABAMA|2023|16
ALABAMA|2023|16,ALABAMA|2023|17
ALABAMA|2023|17,ALABAMA|2023|18
ALABAMA|2023|18,ALABAMA|2023|19
ALABAMA|2023|19,ALABAMA|2023|20
ALABAMA|2023|20,ALABAMA|2023|21
ALABAMA|2023|21,ALABAMA|2023|22
ALABAMA|2023|22,ALABAMA|2023|23
ALABAMA|2023|23,ALABAMA|2023|24
ALABAMA|2023|24,ALABAMA|2023|25
