report_id,location_id,year,week,cases_current_week,cases_diff,cumulative_ytd_current_year,cumulative_ytd_prev_year
MAINE|2022|1,MAINE,2022,1,45,0,45,53
RHODE ISLAND|2022|1,RHODE ISLAND,2022,1,60,0,60,51
VERMONT|2022|1,VERMONT,2022,1,11,0,11,16
NEW JERSEY|2022|1,NEW JERSEY,2022,1,334,0,334,683
NEW YORK|2022|1,NEW YORK,2022,1,293,0,293,118
PENNSYLVANIA|2022|1,PENNSYLVANIA,2022,1,665,0,665,996
ILLINOIS|2022|1,ILLINOIS,2022,1,36,0,36,1365
MICHIGAN|2022|1,MICHIGAN,2022,1,81,0,81,716
WISCONSIN|2022|1,WISCONSIN,2022,1,127,0,127,631
IOWA|2022|1,IOWA,2022,1,47,0,47,287
KANSAS|2022|1,KANSAS,2022,1,23,0,23,230
NEBRASKA|2022|1,NEBRASKA,2022,1,100,0,100,213
SOUTH DAKOTA|2022|1,SOUTH DAKOTA,2022,1,36,0,36,86
FLORIDA|2022|1,FLORIDA,2022,1,629,0,629,1095
GEORGIA|2022|1,GEORGIA,2022,1,494,0,494,1320
SOUTH CAROLINA|2022|1,SOUTH CAROLINA,2022,1,551,0,551,410
VIRGINIA|2022|1,VIRGINIA,2022,1,506,0,506,666
WEST VIRGINIA|2022|1,WEST VIRGINIA,2022,1,25,0,25,96
ALABAMA|2022|1,ALABAMA,2022,1,333,0,333,547
KENTUCKY|2022|1,KENTUCKY,2022,1,21,0,21,169
MISSISSIPPI|2022|1,MISSISSIPPI,2022,1,104,0,104,466
ARKANSAS|2022|1,ARKANSAS,2022,1,123,0,123,347
ARIZONA|2022|1,ARIZONA,2022,1,347,0,347,751
COLORADO|2022|1,COLORADO,2022,1,415,0,415,615
NEW MEXICO|2022|1,NEW MEXICO,2022,1,58,0,58,245
UTAH|2022|1,UTAH,2022,1,147,0,147,234
CALIFORNIA|2022|1,CALIFORNIA,2022,1,235,0,235,3455
OREGON|2022|1,OREGON,2022,1,327,0,327,295
WASHINGTON|2022|1,WASHINGTON,2022,1,308,0,308,293
NON-US RESIDENTS|2022|1,NON-US RESIDENTS,2022,1,1,0,1,
NEW JERSEY|2022|2,NEW JERSEY,2022,2,474,140,808,1480
NEW YORK|2022|2,NEW YORK,2022,2,425,132,834,606
ILLINOIS|2022|2,ILLINOIS,2022,2,50,14,228,2932
MICHIGAN|2022|2,MICHIGAN,2022,2,17,-64,119,1646
WISCONSIN|2022|2,WISCONSIN,2022,2,61,-66,205,1287
IOWA|2022|2,IOWA,2022,2,64,17,289,471
KANSAS|2022|2,KANSAS,2022,2,22,-1,45,396
MINNESOTA|2022|2,MINNESOTA,2022,2,1,0,671,1009
MISSOURI|2022|2,MISSOURI,2022,2,153,0,840,848
NEBRASKA|2022|2,NEBRASKA,2022,2,1,-99,284,403
DISTRICT OF COLUMBIA|2022|2,DISTRICT OF COLUMBIA,2022,2,45,0,45,276
GEORGIA|2022|2,GEORGIA,2022,2,606,112,1100,2592
SOUTH CAROLINA|2022|2,SOUTH CAROLINA,2022,2,309,-242,860,1417
ALABAMA|2022|2,ALABAMA,2022,2,114,-219,679,1202
KENTUCKY|2022|2,KENTUCKY,2022,2,125,104,144,395
MISSISSIPPI|2022|2,MISSISSIPPI,2022,2,112,8,634,952
OKLAHOMA|2022|2,OKLAHOMA,2022,2,31,0,213,434
ARIZONA|2022|2,ARIZONA,2022,2,365,18,1322,1375
IDAHO|2022|2,IDAHO,2022,2,5,0,6,185
MONTANA|2022|2,MONTANA,2022,2,29,0,100,160
NEW MEXICO|2022|2,NEW MEXICO,2022,2,35,-23,317,524
UTAH|2022|2,UTAH,2022,2,69,-78,398,491
OREGON|2022|2,OREGON,2022,2,129,-198,478,658
WASHINGTON|2022|2,WASHINGTON,2022,2,232,-76,540,631
NEW HAMPSHIRE|2022|3,NEW HAMPSHIRE,2022,3,42,0,159,194
NEW JERSEY|2022|3,NEW JERSEY,2022,3,379,-95,1187,2120
NEW YORK|2022|3,NEW YORK,2022,3,486,61,1431,1201
IOWA|2022|3,IOWA,2022,3,1,-63,703,645
KANSAS|2022|3,KANSAS,2022,3,29,7,74,587
MINNESOTA|2022|3,MINNESOTA,2022,3,101,100,772,1518
MISSOURI|2022|3,MISSOURI,2022,3,326,173,1166,1385
NEBRASKA|2022|3,NEBRASKA,2022,3,141,140,425,590
SOUTH DAKOTA|2022|3,SOUTH DAKOTA,2022,3,17,-19,152,254
GEORGIA|2022|3,GEORGIA,2022,3,571,-35,1671,3845
VIRGINIA|2022|3,VIRGINIA,2022,3,739,233,1983,2179
WEST VIRGINIA|2022|3,WEST VIRGINIA,2022,3,13,-12,136,321
ALABAMA|2022|3,ALABAMA,2022,3,75,-39,754,1698
MISSISSIPPI|2022|3,MISSISSIPPI,2022,3,94,-18,1008,1396
TENNESSEE|2022|3,TENNESSEE,2022,3,296,0,929,1967
ARKANSAS|2022|3,ARKANSAS,2022,3,102,-21,521,1046
OKLAHOMA|2022|3,OKLAHOMA,2022,3,31,0,361,688
MONTANA|2022|3,MONTANA,2022,3,35,6,135,221
NEW MEXICO|2022|3,NEW MEXICO,2022,3,17,-18,529,762
UTAH|2022|3,UTAH,2022,3,149,80,547,735
WASHINGTON|2022|3,WASHINGTON,2022,3,220,-12,760,1104
MAINE|2022|4,MAINE,2022,4,53,8,216,303
NEW HAMPSHIRE|2022|4,NEW HAMPSHIRE,2022,4,42,0,200,264
