CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,GEOID,latitude,longitude,state
13001950100,Georgia,Appling County,0,3190,1270,0,34,1.07,0,0,0,0,0,0,17.4,68250.0,1,1,0,0,0,1,0,0,1004.0,1004.0,,334.0,334.0,,3190.0,100.0,1217.0,38.15,811.0,25.42,431.0,13.51,2976.0,93.29,116.0,3.64,7.0,0.22,0.0,0.0,5.0,0.16,86.0,2.7,104.0,3.26,76.0,5.97,183.0,14.44,3190.0,100.0,1217.0,38.15,811.0,25.42,431.0,13.51,2976.0,93.29,116.0,3.64,7.0,0.22,0.0,0.0,5.0,0.16,86.0,2.7,104.0,3.26,76.0,5.97,183.0,14.44,1004.0,31.48,334.0,10.48,235.0,7.38,150.0,4.7,957.0,30.0,25.0,0.78,1.0,0.03,0.0,0.0,1.0,0.03,21.0,0.65,29.0,0.9,24.0,1.89,59.0,4.65,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,811,431,2976,116,7,0,5,86,104,68,164,13001950100,31.8780166036839,-82.27022075546977,GA
13001950400,Georgia,Appling County,0,1476,606,0,0,0.0,1,1,0,0,0,1,17.0,50000.0,1,1,0,0,0,1,0,0,923.0,923.0,,260.0,260.0,,1476.0,100.0,503.0,34.11,324.0,21.95,268.0,18.16,1138.0,77.1,274.0,18.56,8.0,0.54,0.0,0.0,10.0,0.68,46.0,3.12,38.0,2.57,36.0,5.86,91.0,15.0,1476.0,100.0,503.0,34.11,324.0,21.95,268.0,18.16,1138.0,77.1,274.0,18.56,8.0,0.54,0.0,0.0,10.0,0.68,46.0,3.12,38.0,2.57,36.0,5.86,91.0,15.0,923.0,62.55,260.0,17.61,197.0,13.35,164.0,11.1,828.0,56.11,71.0,4.79,5.0,0.34,0.0,0.0,0.0,0.0,19.0,1.31,10.0,0.69,21.0,3.47,57.0,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,590,324,268,1138,274,8,0,10,46,38,38,96,13001950400,31.665216687169497,-82.19072621321702,GA
13001950500,Georgia,Appling County,0,3864,1493,0,0,0.0,0,0,0,0,0,1,25.2,47258.0,0,0,0,0,0,0,0,0,487.0,487.0,,109.0,109.0,,3864.0,100.0,1532.0,39.64,971.0,25.13,503.0,13.02,3328.0,86.13,197.0,5.1,8.0,0.21,11.0,0.28,36.0,0.93,284.0,7.35,394.0,10.2,37.0,2.48,247.0,16.58,3864.0,100.0,1532.0,39.64,971.0,25.13,503.0,13.02,3328.0,86.13,197.0,5.1,8.0,0.21,11.0,0.28,36.0,0.93,284.0,7.35,394.0,10.2,37.0,2.48,247.0,16.58,487.0,12.61,109.0,2.82,112.0,2.91,74.0,1.93,448.0,11.59,5.0,0.12,3.0,0.08,0.0,0.0,5.0,0.13,26.0,0.69,60.0,1.56,0.0,0.0,32.0,2.12,,,,,,,,,,,,,,,,,,,,,,,,,,,1759,971,503,3328,197,8,11,36,284,394,49,246,13001950500,31.694233343076075,-82.38048870530085,GA
13003960100,Georgia,Atkinson County,0,2077,770,0,0,0.0,1,1,0,0,0,1,30.9,33203.0,1,1,0,0,0,1,0,0,1842.0,1842.0,,1182.0,1182.0,,2077.0,100.0,1335.0,64.3,599.0,28.84,246.0,11.84,1195.0,57.53,548.0,26.38,4.0,0.19,3.0,0.14,18.0,0.87,309.0,14.88,387.0,18.63,75.0,9.72,214.0,27.74,2077.0,100.0,1335.0,64.3,599.0,28.84,246.0,11.84,1195.0,57.53,548.0,26.38,4.0,0.19,3.0,0.14,18.0,0.87,309.0,14.88,387.0,18.63,75.0,9.72,214.0,27.74,1842.0,88.67,1182.0,56.89,540.0,26.01,228.0,10.96,996.0,47.94,526.0,25.31,4.0,0.19,3.0,0.14,18.0,0.85,296.0,14.23,371.0,17.87,67.0,8.77,190.0,24.71,,,,,,,,,,,,,,,,,,,,,,,,,,,1334,599,246,1195,548,4,3,18,309,387,67,200,13003960100,31.324885381226306,-83.02423949208621,GA
13003960200,Georgia,Atkinson County,0,5053,1763,0,20,0.4,0,0,0,1,1,1,25.9,43462.0,0,0,0,0,0,0,0,1,,,,,,,4698.0,92.98,2544.0,50.35,1351.0,26.73,482.0,9.55,2908.0,57.56,720.0,14.24,16.0,0.32,19.0,0.37,15.0,0.3,1021.0,20.2,1299.0,25.72,138.0,7.82,309.0,17.51,4007.0,79.29,2110.0,41.76,1164.0,23.04,406.0,8.03,2590.0,51.27,494.0,9.78,12.0,0.23,13.0,0.25,15.0,0.3,882.0,17.46,1114.0,22.04,116.0,6.58,261.0,14.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521,1503,505,3015,864,16,21,16,1121,1437,124,290,13003960200,31.285146941108938,-82.87923395198305,GA
13003960300,Georgia,Atkinson County,0,1245,450,0,0,0.0,0,0,0,0,0,1,40.4,41765.0,0,0,0,0,0,0,0,0,126.0,126.0,,70.0,70.0,,1245.0,100.0,697.0,55.99,328.0,26.35,139.0,11.16,1003.0,80.56,41.0,3.29,3.0,0.24,0.0,0.0,13.0,1.04,185.0,14.86,215.0,17.27,26.0,5.69,88.0,19.61,1245.0,100.0,697.0,55.99,328.0,26.35,139.0,11.16,1003.0,80.56,41.0,3.29,3.0,0.24,0.0,0.0,13.0,1.04,185.0,14.86,215.0,17.27,26.0,5.69,88.0,19.61,126.0,10.1,70.0,5.66,26.0,2.06,18.0,1.49,109.0,8.77,9.0,0.72,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.6,10.0,0.84,3.0,0.7,11.0,2.43,,,,,,,,,,,,,,,,,,,,,,,,,,,878,328,139,1003,41,3,0,13,185,215,29,100,13003960300,31.28708545199545,-82.72106021933048,GA
13005970100,Georgia,Bacon County,0,3057,1167,0,0,0.0,0,0,0,0,0,1,26.8,49148.0,0,0,0,0,0,0,0,0,288.0,288.0,,113.0,113.0,,3057.0,100.0,1390.0,45.48,755.0,24.7,348.0,11.38,2719.0,88.94,173.0,5.66,5.0,0.16,5.0,0.16,8.0,0.26,147.0,4.81,211.0,6.9,0.0,0.0,81.0,6.93,3057.0,100.0,1390.0,45.48,755.0,24.7,348.0,11.38,2719.0,88.94,173.0,5.66,5.0,0.16,5.0,0.16,8.0,0.26,147.0,4.81,211.0,6.9,0.0,0.0,81.0,6.93,288.0,9.41,113.0,3.69,71.0,2.33,40.0,1.3,270.0,8.82,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.39,16.0,0.52,0.0,0.0,8.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,1324,755,348,2719,173,5,5,8,147,211,0,76,13005970100,31.56902069987333,-82.38913835101214,GA
13005970201,Georgia,Bacon County,0,4233,1606,0,135,3.19,0,0,0,1,1,1,28.1,48404.0,0,0,0,0,0,0,0,1,80.0,80.0,,32.0,32.0,,4233.0,100.0,2290.0,54.09,1141.0,26.95,631.0,14.91,3056.0,72.19,914.0,21.59,24.0,0.57,5.0,0.12,9.0,0.21,225.0,5.32,247.0,5.84,120.0,7.46,305.0,19.01,3417.0,80.72,1595.0,37.68,936.0,22.12,457.0,10.81,2730.0,64.5,451.0,10.65,16.0,0.38,1.0,0.02,8.0,0.19,211.0,4.98,237.0,5.61,77.0,4.77,249.0,15.49,80.0,1.89,32.0,0.75,25.0,0.6,12.0,0.28,79.0,1.86,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.0,0.02,1.0,0.03,1.0,0.07,6.0,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,2043,1141,631,3056,914,24,5,9,225,247,100,283,13005970201,31.599090123425988,-82.55954033175468,GA
13005970202,Georgia,Bacon County,0,3806,1441,0,190,4.99,0,0,0,1,1,1,26.6,38719.0,0,0,0,0,0,0,0,1,,,,,,,3349.0,87.99,1854.0,48.71,819.0,21.53,429.0,11.27,2605.0,68.43,521.0,13.7,8.0,0.22,0.0,0.0,3.0,0.08,212.0,5.56,296.0,7.77,103.0,7.12,333.0,23.08,2351.0,61.78,1204.0,31.63,560.0,14.72,351.0,9.23,2142.0,56.27,103.0,2.7,3.0,0.08,0.0,0.0,2.0,0.04,102.0,2.69,159.0,4.18,45.0,3.13,251.0,17.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,930,501,2950,617,9,0,3,227,333,103,369,13005970202,31.485152911838256,-82.48371038338684,GA
13007960100,Georgia,Baker County,0,2198,862,0,0,0.0,1,1,0,0,0,1,28.1,49625.0,1,1,0,0,0,1,0,0,1359.0,1359.0,,759.0,759.0,,2198.0,100.0,1233.0,56.1,513.0,23.34,292.0,13.28,994.0,45.22,1108.0,50.41,9.0,0.41,1.0,0.05,5.0,0.23,81.0,3.69,97.0,4.41,80.0,9.34,124.0,14.41,2198.0,100.0,1233.0,56.1,513.0,23.34,292.0,13.28,994.0,45.22,1108.0,50.41,9.0,0.41,1.0,0.05,5.0,0.23,81.0,3.69,97.0,4.41,80.0,9.34,124.0,14.41,1359.0,61.84,759.0,34.51,296.0,13.45,179.0,8.13,660.0,30.01,653.0,29.73,3.0,0.13,1.0,0.05,3.0,0.14,39.0,1.79,41.0,1.88,51.0,5.97,76.0,8.84,,,,,,,,,,,,,,,,,,,,,,,,,,,1118,513,292,994,1108,9,1,5,81,97,75,119,13007960100,31.34331332752088,-84.36010926327002,GA
